customer_id,timestamp,voltage,current,power,is_theft
50,2024-06-11 10:00:00,222.06,5.877,1.305,1
5,2024-06-02 23:00:00,229.98,8.943,2.057,0
38,2024-06-02 03:00:00,230.51,9.134,2.105,0
14,2024-06-02 20:00:00,233.74,15.885,3.713,0
47,2024-06-22 21:00:00,217.04,0.711,0.154,1
28,2024-06-08 05:00:00,236.84,12.038,2.851,0
14,2024-06-25 19:00:00,232.12,16.727,3.883,0
1,2024-06-26 23:00:00,233.74,8.604,2.011,0
45,2024-05-31 23:00:00,222.1,4.999,1.11,1
12,2024-06-27 07:00:00,228.25,14.986,3.421,0
5,2024-06-14 22:00:00,222.01,12.461,2.767,0
22,2024-06-21 17:00:00,232.45,14.105,3.279,0
10,2024-06-21 03:00:00,231.04,10.148,2.345,0
1,2024-06-04 00:00:00,230.73,7.822,1.805,0
32,2024-06-09 14:00:00,227.43,9.555,2.173,0
29,2024-06-09 13:00:00,230.73,8.4,1.938,0
7,2024-06-27 15:00:00,226.85,10.135,2.299,0
3,2024-06-07 06:00:00,224.34,14.366,3.223,0
21,2024-06-04 19:00:00,232.47,17.199,3.998,0
24,2024-06-22 11:00:00,228.16,9.549,2.179,0
3,2024-06-12 01:00:00,231.88,8.722,2.023,0
47,2024-06-29 05:00:00,219.74,0.889,0.195,1
18,2024-06-08 16:00:00,229.2,12.001,2.751,0
8,2024-06-08 13:00:00,233.34,8.583,2.003,0
6,2024-06-13 21:00:00,230.11,13.581,3.125,0
2,2024-05-31 04:00:00,224.87,12.611,2.836,0
22,2024-06-18 21:00:00,226.94,12.974,2.944,0
29,2024-06-10 01:00:00,227.58,9.363,2.131,0
46,2024-06-26 21:00:00,221.78,1.632,0.362,1
7,2024-06-17 22:00:00,224.37,11.619,2.607,0
37,2024-06-03 19:00:00,231.66,16.92,3.92,0
25,2024-06-01 18:00:00,228.06,15.658,3.571,0
9,2024-06-17 17:00:00,231.25,13.0,3.006,0
25,2024-06-12 11:00:00,232.87,10.029,2.335,0
48,2024-06-26 23:00:00,220.75,1.817,0.401,1
16,2024-06-01 01:00:00,232.86,8.391,1.954,0
30,2024-06-10 11:00:00,233.6,9.182,2.145,0
48,2024-06-19 09:00:00,235.61,4.564,1.075,1
8,2024-06-21 10:00:00,228.03,11.187,2.551,0
37,2024-06-12 04:00:00,235.26,10.733,2.525,0
17,2024-06-09 04:00:00,227.8,10.913,2.486,0
20,2024-06-04 02:00:00,226.67,8.257,1.872,0
27,2024-06-11 11:00:00,231.89,10.495,2.434,0
30,2024-05-31 07:00:00,229.17,15.685,3.595,0
15,2024-06-14 09:00:00,225.08,12.922,2.908,0
11,2024-06-05 05:00:00,229.97,11.733,2.698,0
14,2024-06-11 16:00:00,234.99,11.466,2.694,0
50,2024-06-01 22:00:00,209.85,1.764,0.37,1
30,2024-06-15 17:00:00,227.95,14.04,3.2,0
47,2024-06-28 08:00:00,234.15,5.886,1.378,1
33,2024-06-09 12:00:00,228.26,8.647,1.974,0
8,2024-06-14 05:00:00,226.39,12.408,2.809,0
31,2024-06-04 08:00:00,230.21,14.846,3.418,0
36,2024-06-13 11:00:00,233.49,10.354,2.417,0
43,2024-06-25 03:00:00,230.65,1.995,0.46,1
23,2024-06-10 09:00:00,225.25,13.63,3.07,0
27,2024-06-26 04:00:00,231.5,10.444,2.418,0
34,2024-06-08 21:00:00,230.02,14.296,3.288,0
11,2024-06-10 01:00:00,231.01,8.645,1.997,0
18,2024-06-20 08:00:00,230.2,14.443,3.325,0
47,2024-06-02 10:00:00,218.6,6.295,1.376,1
21,2024-06-18 22:00:00,229.82,11.985,2.754,0
11,2024-06-20 06:00:00,230.16,15.581,3.586,0
50,2024-06-15 07:00:00,211.6,2.807,0.594,1
14,2024-06-26 07:00:00,232.07,16.663,3.867,0
6,2024-06-25 12:00:00,232.84,8.99,2.093,0
34,2024-06-07 06:00:00,233.82,13.364,3.125,0
28,2024-06-21 12:00:00,232.09,9.316,2.162,0
27,2024-06-12 00:00:00,237.12,7.519,1.783,0
30,2024-06-21 17:00:00,231.27,13.749,3.18,0
43,2024-05-31 06:00:00,223.42,2.585,0.578,1
3,2024-06-09 23:00:00,230.26,10.217,2.353,0
25,2024-06-11 13:00:00,229.31,9.189,2.107,0
26,2024-06-03 14:00:00,229.76,8.92,2.049,0
44,2024-06-24 01:00:00,226.42,4.348,0.985,1
48,2024-06-05 14:00:00,208.69,2.873,0.599,1
27,2024-06-10 11:00:00,228.19,9.431,2.152,0
43,2024-06-06 15:00:00,217.62,2.081,0.453,1
29,2024-06-14 00:00:00,228.09,9.107,2.077,0
41,2024-06-04 23:00:00,219.2,2.422,0.531,1
18,2024-06-07 00:00:00,229.84,8.843,2.033,0
11,2024-06-21 04:00:00,226.73,11.3,2.562,0
34,2024-06-18 16:00:00,232.14,11.215,2.603,0
36,2024-06-19 19:00:00,230.65,17.828,4.112,0
11,2024-06-18 10:00:00,227.88,10.934,2.492,0
